reaction_index,reaction_equation,sensitivity_coefficient
0,2 O + M <=> O2 + M,-5.493096238709212e-06
1,H + O + M <=> OH + M,-1.543068675479885e-08
2,H2 + O <=> H + OH,-0.15252503717204535
3,HO2 + O <=> O2 + OH,0.012771021755877885
4,H2O2 + O <=> HO2 + OH,2.0541206971039867e-05
5,CH + O <=> CO + H,3.733242816450474e-05
6,CH2 + O <=> H + HCO,0.0014535466143300155
7,CH2(S) + O <=> CO + H2,0.00031502278689788093
8,CH2(S) + O <=> H + HCO,7.612220517736269e-05
9,CH3 + O <=> CH2O + H,0.24169064930536868
10,CH4 + O <=> CH3 + OH,-0.33328531946651735
11,CO + O (+M) <=> CO2 (+M),8.567591333381858e-07
12,HCO + O <=> CO + OH,-0.00012597716841630802
13,HCO + O <=> CO2 + H,0.0012521781052623976
14,CH2O + O <=> HCO + OH,-0.06394591871231496
15,CH2OH + O <=> CH2O + OH,-3.679776974508216e-06
16,CH3O + O <=> CH2O + OH,0.0002829671896081091
17,CH3OH + O <=> CH2OH + OH,-0.000996408924452011
18,CH3OH + O <=> CH3O + OH,-4.330778341155541e-05
19,C2H + O <=> CH + CO,1.914595430170301e-05
20,C2H2 + O <=> H + HCCO,-0.0011324704109194747
21,C2H2 + O <=> C2H + OH,-0.00010009198332963422
22,C2H2 + O <=> CH2 + CO,0.0011056411094425786
23,C2H3 + O <=> CH2CO + H,0.00022467102820951672
24,C2H4 + O <=> CH3 + HCO,-0.0006267898690575789
25,C2H5 + O <=> CH2O + CH3,0.0015521477694736042
26,C2H6 + O <=> C2H5 + OH,-0.0003096346818943717
27,HCCO + O <=> 2 CO + H,0.0013666961686398405
28,CH2CO + O <=> HCCO + OH,-0.00023219918711943127
29,CH2CO + O <=> CH2 + CO2,4.7295276771379016e-05
30,CO + O2 <=> CO2 + O,-0.00012465512892242739
31,CH2O + O2 <=> HCO + HO2,-0.11253789457154384
32,H + O2 + M <=> HO2 + M,-0.0031791660885420025
33,H + O2 + O2 <=> HO2 + O2,-0.005450852308561716
34,H + O2 + H2O <=> HO2 + H2O,-0.00025824760355717524
35,H + O2 + N2 <=> HO2 + N2,-0.025685425114478598
36,H + O2 + AR <=> HO2 + AR,0.0
37,H + O2 <=> O + OH,-1.8381279592956834
38,2 H + M <=> H2 + M,-2.449244061572951e-07
39,2 H + H2 <=> H2 + H2,-2.780077156794804e-09
40,2 H + H2O <=> H2 + H2O,-3.6698792702873084e-08
41,2 H + CO2 <=> H2 + CO2,-3.9823811175080855e-11
42,H + OH + M <=> H2O + M,1.717416654984319e-06
43,H + HO2 <=> H2O + O,0.0016593423993197648
44,H + HO2 <=> H2 + O2,0.08597525306770694
45,H + HO2 <=> 2 OH,-0.015104941381199605
46,H + H2O2 <=> H2 + HO2,-0.0017108015068582067
47,H + H2O2 <=> H2O + OH,5.783015076477487e-05
48,CH + H <=> C + H2,0.0006109884814951516
49,CH2 + H (+M) <=> CH3 (+M),-9.404698533355288e-05
50,CH2(S) + H <=> CH + H2,0.0006356149048105633
51,CH3 + H (+M) <=> CH4 (+M),-1.0314834995440194
52,CH4 + H <=> CH3 + H2,1.1847695118140937
53,H + HCO (+M) <=> CH2O (+M),-0.005716124431203565
54,H + HCO <=> CO + H2,0.01891514533720115
55,CH2O + H (+M) <=> CH2OH (+M),-0.0009534786276616627
56,CH2O + H (+M) <=> CH3O (+M),-0.15591810077818502
57,CH2O + H <=> H2 + HCO,0.19578689014867512
58,CH2OH + H (+M) <=> CH3OH (+M),-4.195089293473715e-06
59,CH2OH + H <=> CH2O + H2,0.0003213360890752762
60,CH2OH + H <=> CH3 + OH,-0.022244650226393537
61,CH2OH + H <=> CH2(S) + H2O,0.000454338086384128
62,CH3O + H (+M) <=> CH3OH (+M),5.194964446758995e-08
63,CH3O + H <=> CH2OH + H,2.3610642943158053e-05
64,CH3O + H <=> CH2O + H2,0.002311979411369461
65,CH3O + H <=> CH3 + OH,0.0007267754732903942
66,CH3O + H <=> CH2(S) + H2O,-6.773405498591429e-05
67,CH3OH + H <=> CH2OH + H2,0.001493217315463367
68,CH3OH + H <=> CH3O + H2,-0.0014449586057085982
69,C2H + H (+M) <=> C2H2 (+M),-5.2469194236419325e-09
70,C2H2 + H (+M) <=> C2H3 (+M),0.004622800537534911
71,C2H3 + H (+M) <=> C2H4 (+M),-7.949754987915576e-05
72,C2H3 + H <=> C2H2 + H2,0.0013575790524338743
73,C2H4 + H (+M) <=> C2H5 (+M),-0.045993385405815955
74,C2H4 + H <=> C2H3 + H2,0.005568683201817279
75,C2H5 + H (+M) <=> C2H6 (+M),-7.982096551849983e-05
76,C2H5 + H <=> C2H4 + H2,0.0003202374639767525
77,C2H6 + H <=> C2H5 + H2,0.0008270365209897333
78,H + HCCO <=> CH2(S) + CO,0.0004111136130768312
79,CH2CO + H <=> H2 + HCCO,0.0024611111565362408
80,CH2CO + H <=> CH3 + CO,0.0011478385493761832
81,H + HCCOH <=> CH2CO + H,2.2377324013730403e-05
82,CO + H2 (+M) <=> CH2O (+M),0.0006657254232867628
83,H2 + OH <=> H + H2O,-0.29912052766877506
84,2 OH (+M) <=> H2O2 (+M),-0.02699062928502643
85,2 OH <=> H2O + O,-0.0010863273984682649
86,HO2 + OH <=> H2O + O2,0.05336613320103365
87,H2O2 + OH <=> H2O + HO2,1.9767856907910486e-05
88,H2O2 + OH <=> H2O + HO2,0.006162847612815013
89,C + OH <=> CO + H,9.739112369760362e-06
90,CH + OH <=> H + HCO,0.00011584455111595342
91,CH2 + OH <=> CH2O + H,0.003833954970618706
92,CH2 + OH <=> CH + H2O,0.00012486268840199353
93,CH2(S) + OH <=> CH2O + H,0.0011747881895651624
94,CH3 + OH (+M) <=> CH3OH (+M),7.568382363817729e-05
95,CH3 + OH <=> CH2 + H2O,-0.03691853146019648
96,CH3 + OH <=> CH2(S) + H2O,-0.2302924410570204
97,CH4 + OH <=> CH3 + H2O,0.2171355545027976
98,CO + OH <=> CO2 + H,0.015201354045231288
99,HCO + OH <=> CO + H2O,0.008879055557304621
100,CH2O + OH <=> H2O + HCO,-0.12325063506208385
101,CH2OH + OH <=> CH2O + H2O,5.03888085129157e-05
102,CH3O + OH <=> CH2O + H2O,0.0007227662214092333
103,CH3OH + OH <=> CH2OH + H2O,-0.00020921754389725136
104,CH3OH + OH <=> CH3O + H2O,-0.00017852210293071893
105,C2H + OH <=> H + HCCO,3.816155714348739e-05
106,C2H2 + OH <=> CH2CO + H,8.105659884679089e-05
107,C2H2 + OH <=> H + HCCOH,-1.825694606546718e-05
108,C2H2 + OH <=> C2H + H2O,-1.12029906089417e-05
109,C2H2 + OH <=> CH3 + CO,1.0355636977882773e-05
110,C2H3 + OH <=> C2H2 + H2O,0.0001424430631253644
111,C2H4 + OH <=> C2H3 + H2O,-0.01869788278954498
112,C2H6 + OH <=> C2H5 + H2O,0.00046672045536296907
113,CH2CO + OH <=> H2O + HCCO,-0.00014590014966928084
114,2 HO2 <=> H2O2 + O2,0.00023326291451880376
115,2 HO2 <=> H2O2 + O2,0.017681930445580123
116,CH2 + HO2 <=> CH2O + OH,0.0013537232673474658
117,CH3 + HO2 <=> CH4 + O2,-0.23406858748312576
118,CH3 + HO2 <=> CH3O + OH,-0.49918723404041265
